name,proven_victims,possible_victims,country,years_active,method,status,notes
Jeffrey Dahmer,17,17,United States,1978-1991,Strangulation and dismemberment,Convicted 1992 - died in prison 1994,"Dahmer lured victims to his apartment, where he murdered and dismembered them. He kept body parts as souvenirs. Arrested after a victim escaped in 1991."
John Wayne Gacy,33,33,United States,1972-1978,Chloroform and strangulation,Executed 1994,"Known as the Killer Clown, Gacy buried 26 of his victims under his house. He performed as Pogo the Clown at charity events while committing murders."
Ted Bundy,30+,30+,United States,1974-1978,Bludgeoning and strangulation,Executed 1989,"Bundy used his charm and good looks to lure victims. He escaped from custody twice before his final capture. Confessed to 30 murders in seven states."
Aileen Wuornos,7,7,United States,1989-1990,Shooting,Executed 2002,"One of America's first female serial killers. Shot seven men along Florida highways, claiming self-defense. Her story inspired the film Monster."
Dennis Rader (BTK),10,10,United States,1974-1991,Binding strangulation,Convicted 2005 - life sentence,"The BTK killer sent taunting letters to police for decades. Rader was a church president and compliance officer when arrested in 2005 after 30 years."
Gary Ridgway (Green River Killer),49,71,United States,1982-2000,Strangulation,Convicted 2003 - life sentence,"Ridgway targeted vulnerable women near the Green River in Washington State. He confessed to 71 murders, the highest count for any US serial killer."
Charles Manson,9,9,United States,1969,Stabbing and shooting,Died in prison 2017,"Manson led the Manson Family cult. The Tate-LaBianca murders shocked the nation. Manson himself did not personally commit murders but directed his followers."
Richard Ramirez (Night Stalker),14,14,United States,1984-1985,Multiple methods,Died on death row 2013,"Ramirez terrorized California with home invasions. He left pentagrams at crime scenes and had a satanic obsession. Identified by dental records."
Son of Sam (David Berkowitz),6,6,United States,1976-1977,Shooting,Life sentence,"Berkowitz terrorized New York City, claiming a neighbor's dog commanded him to kill. His capture ended a 13-month rampage that paralyzed the city."
Zodiac Killer,5 confirmed,37 claimed,United States,1968-1969,Multiple methods,Unidentified,"One of America's most infamous unidentified serial killers. Sent cryptic ciphers to newspapers, some of which remain unsolved. Identity never confirmed."
Jack the Ripper,5,5,United Kingdom,1888,Mutilation and evisceration,Unidentified,"Operated in Whitechapel London. Victims were prostitutes mutilated with surgical precision. Over 100 suspects identified. Identity still debated."
Harold Shipman,218,250+,United Kingdom,1975-1998,Lethal injection,Died in prison 2004,"British GP who murdered patients with lethal morphine doses. Considered the most prolific serial killer in modern history. Triggered major NHS reforms."
Fred West,12,12,United Kingdom,1967-1987,Strangulation and torture,Died in custody 1995,"Along with wife Rose West, murdered young women and buried them at 25 Cromwell Street. Victims included his own daughter."
Peter Sutcliffe (Yorkshire Ripper),13,13,United Kingdom,1975-1980,Hammer and screwdriver,Died in prison 2020,"Attacked women across Yorkshire. Police received hoax tapes that misdirected the investigation for years. Sentenced to 20 life sentences."
Andrei Chikatilo,52,56,Soviet Union,1978-1990,Stabbing and mutilation,Executed 1994,"The Butcher of Rostov evaded Soviet police for 12 years. An innocent man was executed for his crimes before Chikatilo was identified and caught."
